ID	IZENA	ABIZENA	EMAILA	TELEFONOA	KONTRATAZIO_DATA	ID_NAGUSI
38	Sonny	Russell	sonny.russell@example.com	6.501.211.234	14/07/2016	24
39	Kian	Griffin	kian.griffin@example.com	6.501.212.034	26/10/2016	24
40	Caleb	Diaz	caleb.diaz@example.com	6.501.212.019	12/02/2016	24
25	Ronnie	Perry	ronnie.perry@example.com	6.501.235.234	16/11/2016	1
24	Callum	Jenkins	callum.jenkins@example.com	6.501.234.234	10/10/2016	1
23	Jackson	Coleman	jackson.coleman@example.com	6.501.233.234	01/05/2016	1
22	Liam	Henderson	liam.henderson@example.com	6.501.232.234	10/04/2016	1
21	Jaxon	Ross	jaxon.ross@example.com	6.501.231.234	18/07/2016	1
107	Summer	Payne	summer.payne@example.com	5.151.238.181	07/06/2016	106
106	Rose	Stephens	rose.stephens@example.com	5.151.238.080	07/06/2016	2
101	Annabelle	Dunn	annabelle.dunn@example.com	5.151.234.444	17/09/2016	2
1	Tommy	Bailey	tommy.bailey@example.com	5.151.234.567	17/06/2016	0
3	Blake	Cooper	blake.cooper@example.com	5.151.234.569	13/01/2016	1
2	Jude	Rivera	jude.rivera@example.com	5.151.234.568	21/09/2016	1
11	Tyler	Ramirez	tyler.ramirez@example.com	5.151.244.269	28/09/2016	9
10	Ryan	Gray	ryan.gray@example.com	5.151.244.169	16/08/2016	9
14	Elliot	Brooks	elliTIENDA.brooks@example.com	5.151.244.567	07/12/2016	9
12	Elliott	James	elliott.james@example.com	5.151.244.369	30/09/2016	9
13	Albert	Watson	albert.watson@example.com	5.151.244.469	07/03/2016	9
9	Mohammad	Peterson	mohammad.peterson@example.com	5.151.244.569	17/08/2016	2
104	Harper	Spencer	harper.spencer@example.com	5.151.237.777	07/06/2016	2
4	Louie	Richardson	louie.richardson@example.com	5.904.234.567	03/01/2016	3
5	Nathan	Cox	nathan.cox@example.com	5.904.234.568	21/05/2016	4
8	Bobby	Torres	bobby.torres@example.com	5.904.235.567	07/02/2016	4
7	Charles	Ward	charles.ward@example.com	5.904.234.560	05/02/2016	4
6	Gabriel	Howard	gabriel.howard@example.com	5.904.234.569	25/06/2016	4
102	Emma	Perkins	emma.perkins@example.com	5.151.235.555	17/02/2016	1
103	Amelie	Hudson	amelie.hudson@example.com	6.031.236.666	17/08/2016	102
105	Gracie	Gardner	gracie.gardner@example.com	5.151.238.888	07/06/2016	2
17	Frederick	Price	frederick.price@example.com	5.151.274.563	24/12/2016	47
16	Alex	Sanders	alex.sanders@example.com	5.151.274.562	18/05/2016	47
18	Ollie	Bennett	ollie.bennett@example.com	5.151.274.564	24/07/2016	47
19	Louis	Wood	louis.wood@example.com	5.151.274.565	15/11/2016	47
20	Dexter	Barnes	dexter.barnes@example.com	5.151.274.566	10/08/2016	47
15	Rory	Kelly	rory.kelly@example.com	5.151.274.561	07/12/2016	1
49	Isabella	Cole	isabella.cole@example.com	011.44.1344.619268	15/10/2016	1
48	Jessica	Woods	jessica.woods@example.com	011.44.1344.429278	10/03/2016	1
47	Ella	Wallace	ella.wallace@example.com	011.44.1344.467268	05/01/2016	1
46	Ava	Sullivan	ava.sullivan@example.com	011.44.1344.429268	01/10/2016	1
50	Mia	West	mia.west@example.com	011.44.1344.429018	29/01/2016	1
56	Evie	Harrison	evie.harrison@example.com	011.44.1344.486508	23/11/2016	15
57	Scarlett	Gibson	scarlett.gibson@example.com	011.44.1345.429268	30/01/2016	15
58	Ruby	Mcdonald	ruby.mcdonald@example.com	011.44.1345.929268	04/03/2016	15
59	Chloe	Cruz	chloe.cruz@example.com	011.44.1345.829268	01/08/2016	15
60	Isabelle	Marshall	isabelle.marshall@example.com	011.44.1345.729268	10/03/2016	15
61	Daisy	Ortiz	daisy.ortiz@example.com	011.44.1345.629268	15/12/2016	15
62	Freya	Gomez	freya.gomez@example.com	011.44.1345.529268	03/11/2016	15
80	Elizabeth	Dixon	elizabeth.dixon@example.com	011.44.1644.429262	04/01/2016	15
64	Florence	Freeman	florence.freeman@example.com	011.44.1346.229268	19/03/2016	15
65	Alice	Wells	alice.wells@example.com	011.44.1346.329268	24/01/2016	15
66	Charlotte	Webb	charlotte.webb@example.com	011.44.1346.529268	23/02/2016	15
67	Sienna	Simpson	sienna.simpson@example.com	011.44.1346.629268	24/03/2016	15
68	Matilda	Stevens	matilda.stevens@example.com	011.44.1346.729268	21/04/2016	15
69	Evelyn	Tucker	evelyn.tucker@example.com	011.44.1343.929268	11/03/2016	15
70	Eva	Porter	eva.porter@example.com	011.44.1343.829268	23/03/2016	15
71	Millie	Hunter	millie.hunter@example.com	011.44.1343.729268	24/01/2016	15
72	Sofia	Hicks	sofia.hicks@example.com	011.44.1343.629268	23/02/2016	15
73	Lucy	Crawford	lucy.crawford@example.com	011.44.1343.529268	24/03/2016	15
74	Elsie	Henry	elsie.henry@example.com	011.44.1343.329268	21/04/2016	15
75	Imogen	Boyd	imogen.boyd@example.com	011.44.1644.429267	11/05/2016	15
76	Layla	Mason	layla.mason@example.com	011.44.1644.429266	19/03/2016	15
77	Rosie	Morales	rosie.morales@example.com	011.44.1644.429265	24/03/2016	15
78	Maya	Kennedy	maya.kennedy@example.com	011.44.1644.429264	23/04/2016	15
79	Esme	Warren	esme.warren@example.com	011.44.1644.429263	24/05/2016	15
55	Grace	Ellis	grace.ellis@example.com	011.44.1344.987668	09/12/2016	15
54	Lily	Fisher	lily.fisher@example.com	011.44.1344.498718	30/03/2016	15
53	Sophia	Reynolds	sophia.reynolds@example.com	011.44.1344.478968	20/08/2016	15
52	Sophie	Owens	sophie.owens@example.com	011.44.1344.345268	24/03/2016	15
51	Poppy	Jordan	poppy.jordan@example.com	011.44.1344.129268	30/01/2016	15
63	Phoebe	Murray	phoebe.murray@example.com	011.44.1346.129268	11/11/2016	15
85	Holly	Shaw	holly.shaw@example.com	6.505.091.876	27/01/2016	22
86	Emilia	Holmes	emilia.holmes@example.com	6.505.092.876	20/02/2016	22
87	Molly	Rice	molly.rice@example.com	6.505.093.876	24/06/2016	22
88	Ellie	Robertson	ellie.robertson@example.com	6.505.094.876	07/02/2016	22
89	Jasmine	Hunt	jasmine.hunt@example.com	6.505.051.876	14/06/2016	23
90	Eliza	Black	eliza.black@example.com	6.505.052.876	13/08/2016	23
91	Lilly	Daniels	lilly.daniels@example.com	6.505.053.876	11/07/2016	23
92	Abigail	Palmer	abigail.palmer@example.com	6.505.054.876	19/12/2016	23
93	Georgia	Mills	georgia.mills@example.com	6.505.011.876	04/02/2016	24
94	Maisie	Nichols	maisie.nichols@example.com	6.505.012.876	03/03/2016	24
95	Eleanor	Grant	eleanor.grant@example.com	6.505.013.876	01/07/2016	24
96	Hannah	Knight	hannah.knight@example.com	6.505.014.876	17/03/2016	24
97	Harriet	Ferguson	harriet.ferguson@example.com	6.505.079.811	24/04/2016	25
98	Amber	Rose	amber.rose@example.com	6.505.079.822	23/05/2016	25
99	Bella	Stone	bella.stone@example.com	6.505.079.833	21/06/2016	25
100	Thea	Hawkins	thea.hawkins@example.com	6.505.079.844	13/01/2016	25
81	Lola	Ramos	lola.ramos@example.com	6.505.079.876	24/01/2016	21
82	Willow	Reyes	willow.reyes@example.com	6.505.079.877	23/02/2016	21
83	Ivy	Burns	ivy.burns@example.com	6.505.079.878	21/06/2016	21
84	Erin	Gordon	erin.gordon@example.com	6.505.079.879	03/02/2016	21
33	Reggie	Simmons	reggie.simmons@example.com	6.501.248.234	10/04/2016	22
44	Emily	Hamilton	emily.hamilton@example.com	6.501.212.874	15/03/2016	25
43	Olivia	Ford	olivia.ford@example.com	6.501.212.994	29/01/2016	25
42	Amelia	Myers	amelia.myers@example.com	6.501.218.009	17/10/2016	25
41	Connor	Hayes	connor.hayes@example.com	6.501.211.834	06/04/2016	24
26	Leon	Powell	leon.powell@example.com	6.501.241.214	16/07/2016	21
27	Kai	Long	kai.long@example.com	6.501.241.224	28/09/2016	21
28	Aaron	Patterson	aaron.patterson@example.com	6.501.241.334	14/01/2016	21
29	Roman	Hughes	roman.hughes@example.com	6.501.241.434	08/03/2016	21
30	Austin	Flores	austin.flores@example.com	6.501.245.234	20/08/2016	22
31	Ellis	Washington	ellis.washington@example.com	6.501.246.234	30/10/2016	22
32	Jamie	Butler	jamie.butler@example.com	6.501.247.234	16/02/2016	22
45	Isla	Graham	isla.graham@example.com	6.501.212.004	09/07/2016	25
34	Seth	Foster	seth.foster@example.com	6.501.271.934	14/06/2016	23
